Time of Day,Process Name,PID,Operation,Path,Result,Detail
1:10:50.9136869 PM,Explorer.EXE,1296,ReadFile,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,SUCCESS,"Offset: 0, Length: 1,168, Priority: Normal"
1:10:50.9138648 PM,ctfmon.exe,2072,RegOpenKey,HKLM\Software\Microsoft\PolicyManager\default\TextInput\AllowKeyboardTextSuggestions,SUCCESS,Desired Access: Read
1:10:50.9138920 PM,ctfmon.exe,2072,RegSetInfoKey,HKLM\SOFTWARE\Microsoft\PolicyManager\default\TextInput\AllowKeyboardTextSuggestions,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
1:10:50.9139314 PM,Explorer.EXE,1296,CloseFile,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,SUCCESS,
1:10:50.9140040 PM,Explorer.EXE,1296,RegOpenKey,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\Desktop\NameSpace,SUCCESS,Desired Access: Query Value
1:10:50.9163947 PM,ctfmon.exe,2072,RegOpenKey,HKLM\Software\Microsoft\PolicyManager\default\TextInput\AllowHardwareKeyboardTextSuggestions,SUCCESS,Desired Access: Read
1:10:50.9164218 PM,ctfmon.exe,2072,RegSetInfoKey,HKLM\SOFTWARE\Microsoft\PolicyManager\default\TextInput\AllowHardwareKeyboardTextSuggestions,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
1:10:50.9181562 PM,ctfmon.exe,2072,RegOpenKey,HKCU\Software\Microsoft\Personalization\Settings,SUCCESS,Desired Access: Query Value
1:10:50.9214414 PM,svchost.exe,172,LockFile,C:\Users\azureuser\AppData\Local\ConnectedDevicesPlatform\L.azureuser\ActivitiesCache.db-shm,SUCCESS,"Exclusive: False, Offset: 124, Length: 1, Fail Immediately: True"
1:10:50.9216300 PM,svchost.exe,172,UnlockFileSingle,C:\Users\azureuser\AppData\Local\ConnectedDevicesPlatform\L.azureuser\ActivitiesCache.db-shm,SUCCESS,"Offset: 124, Length: 1"
1:10:50.9253250 PM,taskhostw.exe,7532,RegOpenKey,HKCU\AppEvents\Schemes\,SUCCESS,Desired Access: Query Value
1:10:50.9282521 PM,Explorer.EXE,1296,RegOpenKey,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\MyComputer\NameSpace,SUCCESS,Desired Access: Query Value
1:10:50.9284709 PM,Explorer.EXE,1296,RegOpenKey,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager,SUCCESS,Desired Access: Read
1:10:50.9284932 PM,Explorer.EXE,1296,RegSetInfoKey,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
1:10:50.9291107 PM,ctfmon.exe,2072,CreateFile,C:\Windows\Globalization\ELS\SpellDictionaries\Fluency\en-US\.config,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:50.9291404 PM,ctfmon.exe,2072,QueryBasicInformationFile,C:\Windows\Globalization\ELS\SpellDictionaries\Fluency\en-US\.config,SUCCESS,"CreationTime: 12/7/2019 9:50:56 AM, LastAccessTime: 12/7/2019 9:50:56 AM, LastWriteTime: 10/15/2019 1:49:00 PM, ChangeTime: 5/5/2023 2:04:22 PM, FileAttributes: A"
1:10:50.9291619 PM,ctfmon.exe,2072,CloseFile,C:\Windows\Globalization\ELS\SpellDictionaries\Fluency\en-US\.config,SUCCESS,
1:10:50.9292620 PM,dwm.exe,3728,RegOpenKey,HKLM\Hardware\DeviceMap\VIDEO,SUCCESS,"Desired Access: Read, Maximum Allowed"
1:10:50.9293291 PM,ctfmon.exe,2072,RegOpenKey,HKLM\Software\Microsoft\MTFKeyboardMappings\LANG_0409,SUCCESS,Desired Access: Read
1:10:50.9293769 PM,dwm.exe,3728,RegOpenKey,HKLM\System\CurrentControlSet\Control\Terminal Server\Video,SUCCESS,Desired Access: Read
1:10:50.9294673 PM,dwm.exe,3728,RegOpenKey,HKLM\System\CurrentControlSet\Enum\SWD\RemoteDisplayEnum\RdpIdd_IndirectDisplay&SessionId_0002,SUCCESS,"Desired Access: Query Value, Maximum Allowed"
1:10:50.9322090 PM,ctfmon.exe,2072,RegOpenKey,HKLM\Software\Microsoft\Input\HwkSettings,SUCCESS,Desired Access: Read
1:10:50.9456706 PM,ctfmon.exe,2072,RegOpenKey,HKCU\Software\Microsoft\Input\Locales,SUCCESS,Desired Access: Read
1:10:50.9457363 PM,ctfmon.exe,2072,RegOpenKey,HKLM\Software\Microsoft\Input\Locales,SUCCESS,Desired Access: Query Value
1:10:50.9943384 PM,svchost.exe,172,QueryStandardInformationFile,C:\Users\azureuser\AppData\Local\ConnectedDevicesPlatform\L.azureuser\ActivitiesCache.db-wal,SUCCESS,"AllocationSize: 1,900,544, EndOfFile: 1,849,912, NumberOfLinks: 1, DeletePending: False, Directory: False"
1:10:50.9943620 PM,svchost.exe,172,WriteFile,C:\Users\azureuser\AppData\Local\ConnectedDevicesPlatform\L.azureuser\ActivitiesCache.db-wal,SUCCESS,"Offset: 1,849,912, Length: 24"
1:10:50.9963324 PM,taskhostw.exe,7532,RegOpenKey,HKCU,SUCCESS,Desired Access: Query Value
1:10:50.9963823 PM,taskhostw.exe,7532,RegOpenKey,HKCU\AppEvents\Schemes\Apps\.Default\Minimize\.Current,SUCCESS,Desired Access: Query Value
1:10:51.0396492 PM,Explorer.EXE,1296,CreateFile,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\bc2f88eccd3461b4.automaticDestinations-ms,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:51.0396816 PM,Explorer.EXE,1296,QueryBasicInformationFile,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\bc2f88eccd3461b4.automaticDestinations-ms,SUCCESS,"CreationTime: 5/10/2023 12:10:01 PM, LastAccessTime: 5/10/2023 1:09:23 PM, LastWriteTime: 5/10/2023 12:15:11 PM, ChangeTime: 5/10/2023 12:15:11 PM, FileAttributes: A"
1:10:51.0397023 PM,Explorer.EXE,1296,CloseFile,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\bc2f88eccd3461b4.automaticDestinations-ms,SUCCESS,
1:10:51.0399759 PM,Explorer.EXE,1296,QueryStandardInformationFile,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\bc2f88eccd3461b4.automaticDestinations-ms,SUCCESS,"AllocationSize: 4,096, EndOfFile: 1,536, NumberOfLinks: 1, DeletePending: False, Directory: False"
1:10:51.0400190 PM,Explorer.EXE,1296,ReadFile,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\bc2f88eccd3461b4.automaticDestinations-ms,SUCCESS,"Offset: 0, Length: 512, Priority: Normal"
1:10:51.0401036 PM,Explorer.EXE,1296,LockFile,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\bc2f88eccd3461b4.automaticDestinations-ms,SUCCESS,"Exclusive: True, Offset: 2,147,483,538, Length: 1, Fail Immediately: True"
1:10:51.0401390 PM,Explorer.EXE,1296,UnlockFileSingle,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\bc2f88eccd3461b4.automaticDestinations-ms,SUCCESS,"Offset: 2,147,483,579, Length: 20"
1:10:51.0412946 PM,Explorer.EXE,1296,RegOpenKey,HKCR\CLSID\{4234D49B-0245-4DF3-B780-3893943456E1}\InProcServer32,SUCCESS,Desired Access: Query Value
1:10:51.0416251 PM,Explorer.EXE,1296,RegOpenKey,HKCR\.msc,SUCCESS,Desired Access: Read
1:10:51.0417885 PM,Explorer.EXE,1296,RegOpenKey,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.msc,SUCCESS,Desired Access: Read
1:10:51.0421078 PM,Explorer.EXE,1296,RegOpenKey,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.msc\OpenWithProgids,SUCCESS,Desired Access: Read
1:10:51.0421803 PM,Explorer.EXE,1296,RegEnumValue,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.msc\OpenWithProgids,SUCCESS,"Index: 0, Length: 220"
1:10:51.0424289 PM,Explorer.EXE,1296,RegOpenKey,HKCR\MSCFile,SUCCESS,Desired Access: Read
1:10:51.0426579 PM,Explorer.EXE,1296,RegOpenKey,HKCR\mscfile,SUCCESS,Desired Access: Read
1:10:51.0428827 PM,Explorer.EXE,1296,RegOpenKey,HKCR\mscfile\shell\runas,SUCCESS,Desired Access: Read
1:10:51.0579007 PM,svchost.exe,1568,QueryStandardInformationFile,C:\Windows\System32\winevt\Logs\Microsoft-Windows-Sysmon%4Operational.evtx,SUCCESS,"AllocationSize: 2,166,784, EndOfFile: 2,166,784, NumberOfLinks: 1, DeletePending: False, Directory: False"
1:10:51.0579208 PM,svchost.exe,1568,WriteFile,C:\Windows\System32\winevt\Logs\Microsoft-Windows-Sysmon%4Operational.evtx,SUCCESS,"Offset: 1,445,888, Length: 65,536"
1:10:51.3351523 PM,mmc.exe,7248,Thread Exit,,SUCCESS,"Thread ID: 3476, User Time: 0.0000000, Kernel Time: 0.0000000"
1:10:51.9773820 PM,svchost.exe,3712,TCP Accept,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 181.214.218.48:38465,SUCCESS,"Length: 0, mss: 1286, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 64000, rcvwinscale: 0, sndwinscale: 8, seqnum: 0, connid: 0"
1:10:51.9774338 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 181.214.218.48:38465,SUCCESS,"Length: 43, seqnum: 0, connid: 0"
1:10:51.9777290 PM,svchost.exe,3712,RegOpenKey,HKLM,SUCCESS,"Desired Access: Maximum Allowed, Granted Access: Read"
1:10:51.9777977 PM,svchost.exe,3712,RegOpenKey,HKLM\System\CurrentControlSet\Control\Terminal Server\WinStations,SUCCESS,Desired Access: Read
1:10:51.9778560 PM,svchost.exe,3712,RegOpenKey,HKLM\System\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp,SUCCESS,Desired Access: Read
1:10:51.9781978 PM,svchost.exe,3712,RegOpenKey,HKLM\Software\Policies\Microsoft\Windows NT\Terminal Services,SUCCESS,Desired Access: Read
1:10:51.9818862 PM,svchost.exe,3712,RegOpenKey,HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000,SUCCESS,Desired Access: Read
1:10:51.9840639 PM,svchost.exe,3712,RegOpenKey,HKLM\System\CurrentControlSet\Services\BasicRender,SUCCESS,Desired Access: Read
1:10:51.9914871 PM,svchost.exe,3712,RegOpenKey,HKLM\System\CurrentControlSet\Control\Terminal Server,SUCCESS,Desired Access: Read
1:10:51.9934414 PM,svchost.exe,3712,RegOpenKey,HKLM\System\CurrentControlSet\Control\LSA\FipsAlgorithmPolicy,SUCCESS,Desired Access: Read
1:10:51.9967625 PM,svchost.exe,3712,RegOpenKey,HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,SUCCESS,Desired Access: Query Value
1:10:51.9970703 PM,svchost.exe,3712,CreateFile,C:\Windows\System32\netapi32.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:51.9971141 PM,svchost.exe,3712,QueryBasicInformationFile,C:\Windows\System32\netapi32.dll,SUCCESS,"CreationTime: 5/5/2023 12:08:47 PM, LastAccessTime: 5/10/2023 1:10:48 PM, LastWriteTime: 5/5/2023 12:08:47 PM, ChangeTime: 5/5/2023 2:04:21 PM, FileAttributes: A"
1:10:51.9971333 PM,svchost.exe,3712,CloseFile,C:\Windows\System32\netapi32.dll,SUCCESS,
1:10:51.9973533 PM,svchost.exe,3712,CreateFileMapping,C:\Windows\System32\netapi32.dll,SUCCESS,SyncType: SyncTypeOther
1:10:51.9980792 PM,svchost.exe,3712,Load Image,C:\Windows\System32\netapi32.dll,SUCCESS,"Image Base: 0x7fffbdcd0000, Image Size: 0x19000"
1:10:51.9985333 PM,svchost.exe,3712,CreateFile,C:\Windows\System32\dsreg.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:51.9985751 PM,svchost.exe,3712,QueryBasicInformationFile,C:\Windows\System32\dsreg.dll,SUCCESS,"CreationTime: 5/5/2023 12:08:24 PM, LastAccessTime: 5/10/2023 1:10:50 PM, LastWriteTime: 5/5/2023 12:08:24 PM, ChangeTime: 5/5/2023 2:04:25 PM, FileAttributes: A"
1:10:51.9985946 PM,svchost.exe,3712,CloseFile,C:\Windows\System32\dsreg.dll,SUCCESS,
1:10:51.9988206 PM,svchost.exe,3712,CreateFileMapping,C:\Windows\System32\dsreg.dll,SUCCESS,SyncType: SyncTypeOther
1:10:51.9993113 PM,Sysmon64.exe,5716,CreateFile,C:\Windows\System32\netapi32.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:51.9993481 PM,Sysmon64.exe,5716,QueryBasicInformationFile,C:\Windows\System32\netapi32.dll,SUCCESS,"CreationTime: 5/5/2023 12:08:47 PM, LastAccessTime: 5/10/2023 1:10:51 PM, LastWriteTime: 5/5/2023 12:08:47 PM, ChangeTime: 5/5/2023 2:04:21 PM, FileAttributes: A"
1:10:51.9993633 PM,Sysmon64.exe,5716,CloseFile,C:\Windows\System32\netapi32.dll,SUCCESS,
1:10:51.9998426 PM,Sysmon64.exe,5716,QuerySecurityFile,C:\Windows\System32\netapi32.dll,SUCCESS,"Information: Owner, Group, DACL"
1:10:52.0001821 PM,svchost.exe,3712,Load Image,C:\Windows\System32\dsreg.dll,SUCCESS,"Image Base: 0x7fffb5350000, Image Size: 0x14d000"
1:10:52.0004629 PM,Sysmon64.exe,5716,CreateFile,C:\Windows\System32\dsreg.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:52.0008575 PM,svchost.exe,3712,CreateFile,C:\Windows\System32\msvcp110_win.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:52.0008880 PM,svchost.exe,3712,QueryBasicInformationFile,C:\Windows\System32\msvcp110_win.dll,SUCCESS,"CreationTime: 5/5/2023 12:08:20 PM, LastAccessTime: 5/10/2023 1:10:48 PM, LastWriteTime: 5/5/2023 12:08:20 PM, ChangeTime: 5/5/2023 2:04:21 PM, FileAttributes: A"
1:10:52.0009056 PM,svchost.exe,3712,CloseFile,C:\Windows\System32\msvcp110_win.dll,SUCCESS,
1:10:52.0019990 PM,Sysmon64.exe,5716,QueryBasicInformationFile,C:\Windows\System32\dsreg.dll,SUCCESS,"CreationTime: 5/5/2023 12:08:24 PM, LastAccessTime: 5/10/2023 1:10:51 PM, LastWriteTime: 5/5/2023 12:08:24 PM, ChangeTime: 5/5/2023 2:04:25 PM, FileAttributes: A"
1:10:52.0020148 PM,Sysmon64.exe,5716,CloseFile,C:\Windows\System32\dsreg.dll,SUCCESS,
1:10:52.0023531 PM,Sysmon64.exe,5716,CreateFileMapping,C:\Windows\System32\dsreg.dll,SUCCESS,SyncType: SyncTypeOther
1:10:52.0030769 PM,Sysmon64.exe,5716,QuerySecurityFile,C:\Windows\System32\dsreg.dll,SUCCESS,"Information: Owner, Group, DACL"
1:10:52.0035225 PM,svchost.exe,3712,CreateFileMapping,C:\Windows\System32\msvcp110_win.dll,SUCCESS,SyncType: SyncTypeOther
1:10:52.0066483 PM,Sysmon64.exe,5716,CreateFile,C:\Windows\System32\msvcp110_win.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:52.0066699 PM,Sysmon64.exe,5716,QueryBasicInformationFile,C:\Windows\System32\msvcp110_win.dll,SUCCESS,"CreationTime: 5/5/2023 12:08:20 PM, LastAccessTime: 5/10/2023 1:10:48 PM, LastWriteTime: 5/5/2023 12:08:20 PM, ChangeTime: 5/5/2023 2:04:21 PM, FileAttributes: A"
1:10:52.0066938 PM,Sysmon64.exe,5716,CloseFile,C:\Windows\System32\msvcp110_win.dll,SUCCESS,
1:10:52.0068808 PM,Sysmon64.exe,5716,CreateFileMapping,C:\Windows\System32\msvcp110_win.dll,SUCCESS,SyncType: SyncTypeOther
1:10:52.0072931 PM,svchost.exe,3712,Load Image,C:\Windows\System32\msvcp110_win.dll,SUCCESS,"Image Base: 0x7fffbf820000, Image Size: 0x8a000"
1:10:52.0076225 PM,Sysmon64.exe,5716,QuerySecurityFile,C:\Windows\System32\msvcp110_win.dll,SUCCESS,"Information: Owner, Group, DACL"
1:10:52.0090123 PM,svchost.exe,3712,QueryNameInformationFile,C:\Windows\System32\dsreg.dll,SUCCESS,Name: \Windows\System32\dsreg.dll
1:10:52.0094206 PM,svchost.exe,3712,RegOpenKey,HKLM\Software\Microsoft\SystemCertificates\My,SUCCESS,Desired Access: Read
1:10:52.0096003 PM,svchost.exe,3712,RegOpenKey,HKLM\SOFTWARE\Microsoft\SystemCertificates\MY,SUCCESS,Desired Access: Read
1:10:52.0096457 PM,svchost.exe,3712,RegOpenKey,HKLM\SOFTWARE\Microsoft\SystemCertificates\MY\Certificates,SUCCESS,Desired Access: Read
1:10:52.0097689 PM,svchost.exe,3712,RegOpenKey,HKLM\SOFTWARE\Microsoft\SystemCertificates\MY\Certificates\661CF0C74D9C7B2D74F36A66BCAEA6F1F3D14651,SUCCESS,Desired Access: Read
1:10:52.0099522 PM,svchost.exe,3712,RegOpenKey,HKLM\SOFTWARE\Microsoft\SystemCertificates\MY\CRLs,SUCCESS,Desired Access: Read
1:10:52.0100471 PM,svchost.exe,3712,RegOpenKey,HKLM\SOFTWARE\Microsoft\SystemCertificates\MY\CTLs,SUCCESS,Desired Access: Read
1:10:52.0103448 PM,svchost.exe,3712,RegOpenKey,HKU,SUCCESS,"Desired Access: Maximum Allowed, Granted Access: Read"
1:10:52.0103851 PM,svchost.exe,3712,RegOpenKey,HKU\S-1-5-20,SUCCESS,"Desired Access: Maximum Allowed, Granted Access: All Access"
1:10:52.0107614 PM,svchost.exe,3712,RegOpenKey,HKLM\Software\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-20,SUCCESS,Desired Access: Read
