Timestamp,Category,Classification,Priority,Protocol,Direction
04/30/2020-08:06:39.828739,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:39.828739,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:20:48.595157,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:40.945113,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:138 -> 10.0.1.255:138
04/30/2020-08:15:23.303168,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:54192 -> 10.0.0.4:53
04/30/2020-08:15:23.303168,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:54192 -> 10.0.0.4:53
04/30/2020-08:20:40.945113,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:138 -> 10.0.1.255:138
04/30/2020-08:33:28.214897,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:28.214897,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.595157,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:06:39.828804,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:39.828804,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:32:43.902580,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:138 -> 10.0.1.255:138
04/30/2020-08:32:43.902580,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:138 -> 10.0.1.255:138
04/30/2020-08:33:28.216148,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.596700,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:48.596700,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:34:51.729114,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:52350 -> 10.0.0.4:53
04/30/2020-08:34:51.729114,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:52350 -> 10.0.0.4:53
04/30/2020-08:06:39.830632,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:39.830632,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:33:28.216148,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.598137,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:48.598137,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:06:39.835004,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:39.835004,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:20:48.598892,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:48.598892,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:33:28.218742,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:28.218742,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:06:39.836576,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:39.836576,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:20:48.599614,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:48.599614,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:49.291189,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.291189,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:34:54.130204,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.130204,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:20:48.591635,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:06:39.836638,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:39.836638,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:20:48.591635,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:33:28.222927,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:28.222927,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:49.292345,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.292345,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:48.632299,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:48.632299,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:20:48.592385,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:20:48.592385,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:06:39.837307,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:34:54.131018,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.131018,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:06:39.837307,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:33:28.223744,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.592431,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:20:48.592431,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:33:28.223744,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:49.292403,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:48.840759,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:48.840759,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:49.292403,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:34:54.131096,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.131096,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:06:50.586537,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:50.586537,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:20:48.592985,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:20:48.592985,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:20:48.616744,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:20:48.616744,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:20:48.841865,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:49.293835,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.293835,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:34:54.132600,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.132600,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:33:28.225644,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.4:60774 -> 10.0.1.6:5985
04/30/2020-08:06:50.587803,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:50.587803,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:21:03.303042,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:21:03.303042,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:20:48.841865,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:49.297996,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.297996,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:33:28.225675,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:28.225675,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.842274,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:48.842274,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:21:03.303969,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:21:03.303969,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56953 -> 10.0.0.4:135
04/30/2020-08:06:50.588773,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:06:50.588773,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:34:54.137196,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.137196,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:20:49.298718,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.298718,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:48.870904,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56545 -> 10.0.0.4:389
04/30/2020-08:20:48.870904,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56545 -> 10.0.0.4:389
04/30/2020-08:33:29.268003,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:32:43.425808,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:64909 -> 10.0.0.4:53
04/30/2020-08:32:43.425808,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:64909 -> 10.0.0.4:53
04/30/2020-08:33:29.268003,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:34:54.137885,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.137885,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:20:49.298765,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.298765,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:48.843305,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:48.843305,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:33:43.656936,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:33:43.656936,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:34:54.137986,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.137986,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:33:29.271997,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:29.271997,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.868459,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:48.868459,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:49.299334,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:33:43.676107,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:33:43.676107,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:34:54.138648,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.138648,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:20:49.299334,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:33:29.284266,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:29.284266,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.919270,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:48.919270,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:34:54.138766,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.138766,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:33:44.685191,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:33:44.685191,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:20:49.299458,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.299458,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:34:54.139169,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.139169,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:33:29.286442,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:29.286442,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:20:48.919846,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:48.919846,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56955 -> 10.0.0.4:389
04/30/2020-08:20:49.299949,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:20:49.299949,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56957 -> 10.0.0.4:445
04/30/2020-08:33:46.724357,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:33:46.724357,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56837 -> 10.0.0.4:53
04/30/2020-08:33:29.287900,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:29.287900,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:34:54.139979,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:34:54.139979,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:57026 -> 10.0.0.4:445
04/30/2020-08:20:48.982423,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56956 -> 10.0.0.4:389
